"file","w","g1","g2","yg","y1","y2","yb","b1","b2","b3"
"12_F_2020-06-10_09-40_O.png",0.836965074967252,0.0368710714050116,0.00073859941760199,0.000177287420014513,0.000362820766541329,4.41746063159085e-05,0,0.00312991810616984,0.109029407329922,0.012681645981171
"12_F_2020-06-11_14-30_O.png",0.839561363829126,0.0372939696361426,0.00078689698717405,0.000180232393768907,0.000359875792786935,5.24205328282114e-05,0,0.00293496084362896,0.10755338648422,0.0112768935003251
"12_F_2020-06-12_09-10_O.png",0.84469857604629,0.0141011233307889,0.000732709470093203,0.000159028582737271,0.000307455259958723,3.12167217965754e-05,0,0.000346328913516723,0.121089074854165,0.0185344868206535
"12_F_2020-06-13_18-30_O.png",0.844797527164438,0.0176939913111494,0.00169277091402561,0.000296853354442905,0.000371066693053631,4.53525958176661e-05,0,9.659513914412e-05,0.115678569072592,0.0193272737553363
"12_F_2020-06-14_10-20_O.png",0.843270263775409,0.00763396096613987,0.000679110947763234,0.000171986467256604,0.000352218861025511,4.65305853194236e-05,0,0.000113675986919605,0.111815352501579,0.035916899908588
"12_F_2020-06-15_09-30_O.png",0.848422789856097,0.0106837757861902,0.000858165352030383,0.000219106047326906,0.000412885320366025,5.53655065826053e-05,0,0.000280950496169178,0.0981801240187347,0.0408868376165032
"12_F_2020-06-16_12-40_O.png",0.848968787990161,0.0145157756354075,0.00113852685344868,0.000224407000084815,0.000326303091986844,4.59415905685449e-05,0,6.36114330949083e-05,0.0958600736950232,0.038856572710224
"12_F_2020-06-17_18-00_O.png",0.849669691743707,0.0111037290435668,0.000935912659146382,0.000253856737628754,0.000405228388604601,3.76956640562419e-05,0,7.36243438598475e-05,0.0947074109675535,0.0428128504518768
"13_F_2020-05-28_18-20_U.png",0.816283113284894,0.0235138484445827,0.0568939479611358,0.0443689745836985,0.0559109157219191,4.94755590738175e-05,0.000960061443932412,0.00170396181429231,0.000249144779621724,6.65564068493022e-05
"13_F_2020-05-29_20-10_U.png",0.821373205921989,0.00859873436807931,0.0546651918238105,0.0409634069341174,0.0660457484002903,0.00679052048288146,0.000196135252042634,0.000904106942598928,0.000308044254709602,0.000154905619481119
"13_F_2020-05-30_18-00_R.png",0.819500202614194,0.0169618708358071,0.0455534430277157,0.0493919218191927,0.0507689915467473,0.00469487715925476,0.00363822057617823,0.00838728525251383,0.00083048259873908,0.000272704569656875
"13_F_2020-06-01_08-30_R.png",0.822972915665376,0.0210471384279023,0.0419004975827655,0.0655663066730749,0.0363074034284206,0.000157261598484634,1.70808477754846e-05,0.0100818231507921,0.00138708263831953,0.000562489987089235
"13_F_2020-06-02_08-20_R.png",0.822697266121964,0.0230090799430795,0.0470465447211934,0.0698848161865182,0.020975870063046,0.000128400855691574,0,0.013113968128316,0.00253208843402788,0.000611965546163053
